{Anser_sphenocercus, Eublepharis_aegagrus} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Lepidobatrachus_salei} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Liasis_homeana} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Limnodromus_smithi} {Apus_zonata, Podoces_alpestris}
{Anser_sphenocercus, Sterna_bewickii} {Apus_zonata, Podoces_alpestris}
{Eublepharis_aegagrus, Lepidobatrachus_salei} {Apus_zonata, Podoces_alpestris}
{Eublepharis_aegagrus, Liasis_homeana} {Apus_zonata, Podoces_alpestris}
{Eublepharis_aegagrus, Limnodromus_smithi} {Apus_zonata, Podoces_alpestris}
{Eublepharis_aegagrus, Sterna_bewickii} {Apus_zonata, Podoces_alpestris}
{Lepidobatrachus_salei, Liasis_homeana} {Apus_zonata, Podoces_alpestris}
{Lepidobatrachus_salei, Limnodromus_smithi} {Apus_zonata, Podoces_alpestris}
{Lepidobatrachus_salei, Sterna_bewickii} {Apus_zonata, Podoces_alpestris}
{Liasis_homeana, Limnodromus_smithi} {Apus_zonata, Podoces_alpestris}
{Liasis_homeana, Sterna_bewickii} {Apus_zonata, Podoces_alpestris}
{Limnodromus_smithi, Sterna_bewickii} {Apus_zonata, Podoces_alpestris}
{Balaenoptera_dives, Procellaria_pyromelana} {Anser_sphenocercus, Cygnus_torquatus}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Ethmostigmus_platycephala}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Liasis_homeana}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Limnodromus_smithi}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Numenius_aceras}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Pratincola_vulgaris}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Cygnus_torquatus, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Liasis_homeana}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Limnodromus_smithi}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Numenius_aceras}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Pratincola_vulgaris}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Sorex_unicolor}
{Eublepharis_aegagrus, Iomachus_teniotis} {Ethmostigmus_platycephala, Sterna_bewickii}
{Eublepharis_aegagrus, Iomachus_teniotis} {Liasis_homeana, Limnodromus_smithi}
{Eublepharis_aegagrus, Iomachus_teniotis} {Liasis_homeana, Numenius_aceras}
{Eublepharis_aegagrus, Iomachus_teniotis} {Liasis_homeana, Pratincola_vulgaris}
