11111: ----- -
11112: 15412 2
11113: 14153 4
11114: 11512 3
11115: 11513 3
11121: 41125 5
11122: 14112 4
11123: 14113 4
11124: 15424 2
11125: 15425 2
11131: 41135 5
11132: 41131 5
11133: 51113 1
11134: 41133 5
11135: 11533 3
11141: 41145 5
11142: 11545 3
11143: 51123 1
11144: 14134 4
11145: 14135 4
11151: 51131 1
11152: 41151 5
11153: 14143 4
11154: 41153 5
11155: 14145 4
11211: 41215 5
11212: 51242 1
11213: 11111 3
11214: 51244 1
11215: 14255 4
11221: 14211 4
11222: 14212 4
11223: 11121 3
11224: 41223 5
11225: 15525 2
11231: 11134 3
11232: 11135 3
11233: 14223 4
11234: 15534 2
11235: 41234 5
11241: 11144 3
11242: 14232 4
11243: 14233 4
11244: 41243 5
11245: 14235 4
11251: 11154 3
11252: 11155 3
11253: 14243 4
11254: 11152 3
11255: 51235 1
11311: 14351 4
11312: 11215 3
11313: 11211 3
11314: 15114 2
11315: 14355 4
11321: 14311 4
11322: 41321 5
11323: 15123 2
11324: 51354 1
11325: 14315 4
11331: 15131 2
11332: 11235 3
11333: 14323 4
11334: 15134 2
11335: 51315 1
11341: 15141 2
11342: 11245 3
11343: 14333 4
11344: 11242 3
11345: 11243 3
11351: 11254 3
11352: 41351 5
11353: 41352 5
11354: 15154 2
11355: 41354 5
11411: 14451 4
11412: 51442 1
11413: 51443 1
11414: 41413 5
11415: 14455 4
11421: 51451 1
11422: 41421 5
11423: 41422 5
11424: 41423 5
11425: 41424 5
11431: 51411 1
11432: 14422 4
11433: 51413 1
11434: 41433 5
11435: 15235 2
11441: 41445 5
11442: 41441 5
11443: 14433 4
11444: 51424 1
11445: 14435 4
11451: 14441 4
11452: 14442 4
11453: 11351 3
11454: 14444 4
11455: 14445 4
11511: 11414 3
11512: 41511 5
11513: 15313 2
11514: 41513 5
11515: 41514 5
11521: 15321 2
11522: 11425 3
11523: 41522 5
11524: 11422 3
11525: 11423 3
11531: 51511 1
11532: 41531 5
11533: 41532 5
11534: 11432 3
11535: 15335 2
11541: 51521 1
11542: 51522 1
11543: 11441 3
11544: 11442 3
11545: 41544 5
11551: 11454 3
11552: 11455 3
11553: 15353 2
11554: 51534 1
11555: 14545 4
12111: 15151 4
12112: 52142 1
12113: 11413 2
12114: 42113 5
12115: 12513 3
12121: 42125 5
12122: 11422 2
12123: 11423 2
12124: 42123 5
12125: 42124 5
12131: 52111 1
12132: 42131 5
12133: 15123 4
12134: 15124 4
12135: 42134 5
12141: 15131 4
12142: 52122 1
12143: 15133 4
12144: 15134 4
12145: 52125 1
12151: 15141 4
12152: 42151 5
12153: 42152 5
12154: 11454 2
12155: 52135 1
12211: 12114 3
12212: 52242 1
12213: 15253 4
12214: 11514 2
12215: 15255 4
12221: 12124 3
12222: 42221 5
12223: 15213 4
12224: 42223 5
12225: 15215 4
12231: 12134 3
12232: 11532 2
12233: 42232 5
12234: 12132 3
12235: 42234 5
12241: 42245 5
12242: 15232 4
12243: 52223 1
12244: 52224 1
12245: 42244 5
